region,year ,population,GDP,GNI,Inflation,Life expectancy, Military expenditure, time_period, migration
Argentina,1990.5,32775637.16,10355.27213,2.06E+11,,71.00665574,1.645400638,1986.5,0.543824324
Bolivia,1990.5,7414603.387,2057.002912,13364420759,229.8929213,56.31691803,1.967237795,1986.5,-1.592851351
Brazil,1990.5,148560341.8,6146.803102,7.70E+11,286.8748005,65.3542623,1.822202866,1986.5,0.087635135
Chile,1990.5,13527612.27,7302.646779,83083742130,41.36414184,71.35152459,3.750299878,1986.5,-0.688310811
Colombia,1990.5,33078141.53,3865.943818,1.06E+11,14.00398254,68.41485246,2.707076156,1986.5,-1.441608108
Ecuador,1990.5,10679879.5,4265.104651,31954812604,17.64735971,67.16457377,2.126351908,1986.5,-0.564216216
Guyana,1990.5,738697.0484,3821.252011,1384097852,4.50375246,63.1607377,2.553149224,1986.5,-12.46290541
Paraguay,1990.5,4155142.516,3752.311862,21649288963,10.48800513,67.36362295,2.087194658,1986.5,-4.205337838
Peru,1990.5,21940063.13,3942.321459,61087795943,214.7644137,64.50203279,2.726608962,1986.5,-1.64622973
Suriname,1990.5,441189.9516,6721.762679,1419397534,27.06456484,64.46785246,,1986.5,-5.262756757
Uruguay,1990.5,3087451.516,9379.468444,18307451149,37.77568792,72.89104918,2.923546652,1986.5,-2.223108108
Venezuela,1990.5,19924192.34,,95206643648,72.74028896,69.22437705,1.835595541,1986.5,-1.22127027
